id,male,age,inc,time,pri_nee_gen_1,pri_nee_gen_2,pri_nee_gen_3,pri_nee_gen_4,pri_nee_soc_1,pri_nee_soc_2,pri_nee_soc_3,pri_nee_soc_4,pri_nee_soc_5,pri_nee_soc_6,pri_nee_soc_7,pri_nee_soc_8,pri_nee_soc_9,pri_nee_int_1,pri_nee_int_2,pri_nee_int_3,pri_nee_int_4,pri_nee_int_5,pri_nee_int_6,pri_nee_int_7,pri_nee_int_8,pri_nee_int_9,soc_1,soc_2,soc_3,soc_4,soc_5,soc_6,soc_7,soc_8,itg_1,itg_2,itg_3,itg_4,itg_5,itg_6,itg_7,itg_8,itg_9,itg_10,itg_11,anx_1,anx_2,anx_3,anx_4,anx_5,anx_6,anx_7,anx_8,ria_1,ria_2,ria_3,ria_4,ria_5,ria_6,ria_7,ria_8,tra_1,tra_2,tra_3,tra_4,tra_5,tra_6,tra_7,tra_8
283,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,NA,NA,NA,17371,4,5,7,6,5,4,4,4,5,2,2,3,4,3,4,4,6,5,4,5,3,5,6,5,4,6,4,1,4,3,1,1,6,7,1,1,2,1,2,6,1,1,3,3,5,4,5,3,5,4,5,1,3,4,3,6,5,4,5,6,1,4,4,3,3
285,0,21,2,688498,5,3,6,5,4,5,5,5,5,4,2,4,4,4,4,4,5,5,4,5,5,5,5,3,6,2,5,5,5,3,1,2,4,6,2,1,3,1,1,5,1,3,5,5,5,5,5,4,5,4,5,5,5,4,3,5,4,3,6,6,4,6,5,4,3
286,1,19,1,1453,6,6,6,6,5,6,5,5,6,2,3,3,6,3,2,6,5,3,3,5,6,5,3,6,3,5,2,6,2,6,3,5,6,3,6,6,2,5,6,7,6,3,2,3,5,2,6,5,6,7,5,6,3,6,2,6,6,6,6,6,5,6,6,3,6
287,0,19,1,624,3,4,5,4,4,4,4,3,5,5,3,4,5,4,3,5,3,4,5,4,3,4,3,3,4,4,5,5,4,5,5,4,5,4,3,4,5,4,3,5,3,5,4,3,3,4,3,5,4,4,4,3,3,5,3,4,4,3,5,4,5,5,4,3,4
288,1,18,1,1713,2,3,4,5,4,6,5,5,7,5,4,1,5,5,5,3,4,4,6,3,2,2,3,7,1,6,1,7,1,7,2,3,3,4,2,3,5,4,5,4,4,3,4,2,4,2,5,1,5,7,1,7,1,7,1,1,1,4,6,4,7,2,5,2,2
289,0,22,1,741,5,5,6,5,6,6,6,6,6,2,5,7,6,2,2,6,6,3,6,6,6,6,3,5,5,3,4,3,3,5,2,3,3,3,3,1,1,2,1,7,6,3,5,3,3,3,5,5,5,6,5,3,6,3,6,6,6,3,7,5,7,3,6,3,3
290,0,22,2,1155,5,5,7,6,2,5,2,2,2,2,2,2,5,2,1,6,6,2,3,6,3,5,2,5,3,5,2,6,2,5,2,3,2,3,1,1,5,3,1,6,5,2,6,3,5,2,6,4,5,5,5,6,3,5,3,6,3,2,6,2,5,3,3,2,5
291,0,20,2,760,5,5,5,5,4,5,5,5,3,5,3,4,5,4,4,4,4,3,4,4,4,5,4,4,4,4,5,4,5,4,3,3,4,4,4,2,2,2,5,4,4,3,5,3,5,5,6,3,5,6,5,3,5,4,5,6,5,4,4,4,5,5,4,3,5
292,0,19,1,54973,3,3,6,6,6,6,6,4,6,4,4,4,6,6,4,6,5,6,3,6,4,6,2,6,4,4,2,5,2,6,1,2,1,7,1,1,1,3,6,7,6,3,3,5,2,2,6,6,4,5,6,5,6,5,6,6,6,5,7,4,5,3,6,4,3
293,0,19,4,4702,6,4,7,6,6,7,4,4,6,6,4,6,4,6,6,6,6,6,5,6,5,6,3,4,5,4,4,3,3,5,5,3,5,4,5,4,4,4,4,4,3,3,5,5,4,4,5,4,4,6,5,6,3,6,4,6,4,6,6,4,5,3,6,3,4
294,1,19,1,1596,7,7,7,7,5,7,6,7,7,4,4,2,7,1,2,7,6,4,3,6,5,6,5,2,5,3,4,4,5,3,2,3,3,3,4,5,3,6,5,7,2,6,3,5,2,3,5,4,5,5,6,3,6,2,6,6,6,6,6,6,7,6,5,6,6
295,1,20,1,1141,3,6,6,6,4,6,6,6,6,1,3,2,6,2,2,6,2,6,2,6,6,5,2,6,2,6,2,4,3,6,1,1,1,1,1,1,1,1,1,1,6,2,2,2,2,6,3,6,6,6,6,5,6,3,6,6,5,3,6,6,2,6,6,6,6
296,NA,NA,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,3,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
